Freq (Hz),Z_real (Ω),Z_imag (Ω),|Z| (Ω),R_cal (Ω),DUT
20000,117784.3,1524.49,117794.17,48000,0.74
21000,117860.31,1547.77,117870.48,48000,0.75
22000,117825.01,1855.61,117839.62,48000,0.9
23000,118110.67,1965.8,118127.03,48000,0.95
24000,118314.18,2099.59,118332.8,48000,1.02
25000,118530.62,2153.33,118550.19,48000,1.04
26000,118817.3,2245.27,118838.52,48000,1.08
27000,118987.58,2276,119009.34,48000,1.1
28000,119270.39,2339.75,119293.34,48000,1.12
29000,119757.16,2510.9,119783.48,48000,1.2
30000,119932.34,2260.17,119953.63,48000,1.08
31000,119905.88,2537.42,119932.72,48000,1.21
32000,120204.96,2503.25,120231.02,48000,1.19
33000,120377.2,2485.37,120402.85,48000,1.18
34000,120416.3,2320,120438.65,48000,1.1
35000,120731.2,2373.69,120754.53,48000,1.13
36000,121044.68,2511.77,121070.74,48000,1.19
37000,121168.84,2206.6,121188.94,48000,1.04
38000,121439.43,2291.27,121461.05,48000,1.08
39000,121714.23,2209.95,121734.29,48000,1.04
40000,121870.54,2224.88,121890.85,48000,1.05
41000,122002.47,2004.87,122018.94,48000,0.94
42000,122181.22,1816.38,122194.72,48000,0.85
43000,122427.52,1912.68,122442.47,48000,0.9
44000,122616.38,1818.24,122629.86,48000,0.85
45000,122801.84,1588.67,122812.12,48000,0.74
46000,122902.21,1620.5,122912.89,48000,0.76
47000,123078.92,1394.43,123086.81,48000,0.65
48000,123271.68,1320.86,123278.76,48000,0.61
49000,123583.63,1098.47,123588.51,48000,0.51
50000,123608.55,939.67,123612.12,48000,0.44
51000,123402.1,456.47,123402.94,48000,0.21
52000,123929.18,761.23,123931.52,48000,0.35
53000,124023.34,768.36,124025.73,48000,0.35
54000,124074.06,324.1,124074.48,48000,0.15
55000,124402,408.62,124402.67,48000,0.19
56000,124421.3,191.47,124421.45,48000,0.09
57000,124552.12,-66.59,124552.13,48000,-0.03
58000,124844.24,-279.05,124844.56,48000,-0.13
59000,124739.84,-261.69,124740.12,48000,-0.12
60000,124876.43,-480.97,124877.35,48000,-0.22
61000,125095.92,-628.85,125097.49,48000,-0.29
62000,125256.29,-755.73,125258.57,48000,-0.35
63000,125236.29,-925.55,125239.71,48000,-0.42
64000,125346.53,-1106.58,125351.42,48000,-0.51
65000,125562.64,-1338.82,125569.78,48000,-0.61
66000,125606.58,-1494.89,125615.48,48000,-0.68
67000,125715.52,-1602.71,125725.74,48000,-0.73
68000,125799.55,-1781.88,125812.16,48000,-0.81
69000,125888.12,-1724.54,125899.93,48000,-0.78
70000,125913.22,-2085.81,125930.49,48000,-0.95
71000,126089.74,-2348.48,126111.61,48000,-1.07
72000,126051.91,-2521.28,126077.12,48000,-1.15
73000,126256.94,-2578.1,126283.26,48000,-1.17
74000,126381.43,-2882.53,126414.3,48000,-1.31
75000,126338.02,-3029.17,126374.34,48000,-1.37
76000,126522.98,-3121.01,126561.47,48000,-1.41
77000,126530.6,-3149.21,126569.79,48000,-1.43
78000,126640.98,-3567.06,126691.2,48000,-1.61
79000,126833.3,-3549.17,126882.94,48000,-1.6
80000,126785.82,-3760.57,126841.58,48000,-1.7
